 Performance Framework City,Lat,Lon,#
Sydney ,-33.815,151.0011,1
Ballarat,-37.5622,143.8503,1
Bendigo,-36.757,144.2794,1
Geelong,-38.1499,144.3617,1
Melbourne ,-37.8136,144.9631,1
Brisbane ,-27.4698,153.0251,1
Cairns,-16.9186,145.7781,1
Gold Coast,-28.0167,153.4,1
Mackay,-21.1425,149.1821,1
Sunshine Coast,-26.65,153.0667,1
Toowoomba,-27.5598,151.9507,1
Townsville,-19.259,146.8169,1
Adelaide ,-34.9285,138.6007,1
Perth ,-31.9505,115.8605,1
Hobart,-42.8821,147.3272,1
Launceston and North East,-41.4332,147.1441,1
Darwin,-12.4634,130.8456,1
Australian Capital Territory,-35.2809,149.13,1
Wollongong,-34.4278,150.8931,1
Albury,-36.0737,146.9135,1
Newcastle,-32.935,151.756,1
Western Sydney,-33.75,150.7,1
,,,
